광역,시군구,거리명,추천입력_대표음식,매칭키워드,유형,거리소개,주소,위도,경도,점포수,지정연도,운영상태,데이터구분,출처기관,출처URL,원출처,신뢰도,검증메모,매칭기준,추천활용,위치범위,위치유형,위치검증출처,위치검증등급,위치검증메모
전남,담양군,담양 국수거리,국수,"국수,멸치국수,비빔국수",음식거리,관방제림 인근 국수 전문점 밀집 거리,전라남도 담양군 담양읍 객사리 부근,35.3235969,126.9833537,,,운영,신규,담양군 문화관광,https://www.damyang.go.kr/menu/goToContentsPage?contentsSid=388&domainId=DOM_0000003&menuCd=DOM_000000305003004000,웹 검증,A,담양군 공식 문화관광 테마별 먹거리촌에 수록.,특정 음식 직접 매칭 가능,Y,관방제림 인근 영산강변 국수거리,대표 권역 포인트,https://m.tripinfo.co.kr/info.html?content_id=2789367&content_type_id=12,B+,대표부근 표시용 좌표: 사용자 지정 대표권역 · 객사리 국수거리 부근
전남,담양군,죽순푸드빌리지,죽순요리,"죽순,죽순요리",먹거리촌,담양 죽순을 주제로 한 먹거리 권역,전라남도 담양군 담양읍 향교길 부근,35.325,126.9878,,,운영,신규,담양군 문화관광,https://www.damyang.go.kr/menu/goToContentsPage?contentsSid=388&domainId=DOM_0000003&menuCd=DOM_000000305003004000,웹 검증,A,담양군 공식 문화관광 테마별 먹거리촌에 수록.,특정 음식 직접 매칭 가능,Y,죽녹원 인접 음식점 밀집구간,대표 권역 포인트,https://www.damyang.go.kr/menu/goToContentsPage?contentsSid=388&domainId=DOM_0000003&menuCd=DOM_000000305003004000,A,대표부근 표시용 좌표: 사용자 지정 대표권역 · 향교길/죽녹원 인접권역
전남,담양군,창평국밥거리,국밥,"국밥,창평국밥",남도음식거리,창평 지역 국밥 전문 음식거리,전라남도 담양군 창평면 사동길 12-12 일원,35.2385168,127.0144031,,,운영,신규,전라남도/담양군,https://namdokorea.com/tour/info/area/areaList.do?area=AREA_DAMYANG&infoId=0000012646&menuCd=T002001006,웹 검증,A+,전라남도 남도음식거리 사업 대상이며 전남 공식 관광에 개별 페이지 존재.,특정 음식 직접 매칭 가능,Y,창평시장 주변 사동길 12·13·14번길,대표 권역 포인트,https://namdokorea.com/tour/info/area/areaList.do?area=AREA_DAMYANG&infoId=0000012646&menuCd=T002001006,A+,대표부근 표시용 좌표: 창평시장·국밥거리 대표부근 좌표
전남,목포시,민어의 거리,민어,"민어,민어회,민어요리",음식거리,목포 중앙동 민어 전문점 밀집 거리,전라남도 목포시 대의동2가 3-16 부근,34.7862652,126.3842897,,,운영,신규,목포시 문화관광,https://www.mokpo.go.kr/tour/attraction/area?idx=80187&mode=view,웹 검증,A-,목포시 공식 관광 음식점 페이지에서 중앙동 민어의 거리 위치를 반복 확인. 별도 거리 소개 페이지는 확인되지 않아 A-.,특정 음식 직접 매칭 가능,Y,중앙동 번화로 일대,대표 권역 포인트,https://www.mokpo.go.kr/tour/amusement/ninefood/croaker,A-,대표부근 표시용 좌표: 사용자 지정 대표권역 · 목포 민어의 거리 부근
전남,무안군,무안뻘낙지거리,낙지,"낙지,세발낙지,낙지탕탕이,낙지비빔밥,낙지볶음,낙지연포탕",음식거리,"무안 세발낙지는 갯벌과 황토가 어우러진 환경에서 자라 영양도 좋고 육질이 쫄깃하고 맛이 깊습니다. 무안뻘낙지거리에는 다양한 낙지 요리 전문점이 모여 있어, 낙지탕탕이, 낙지비빔밥, 낙지볶음, 낙지연포탕 등 다채로운 낙지 요리를 맛볼 수 있습니다. 싱싱한 낙지의 풍미를 제대로 느낄 수 있는 곳, 남도의 깊은 맛을 경험하고 싶다면 무안뻘낙지거리로 오세요.",전라남도 무안군 무안읍 뻘낙지길·성남1길 일원,34.98731526,126.4771641,20.0,2018.0,기존 데이터,기존,무안군보건소,,전라남도_무안군_지역특화거리_20260410.csv,A,기존 공공 지역특화거리 원자료. 신규 웹 검증 대상 아님.,특정 음식 직접 매칭 가능,Y,무안읍 뻘낙지길 26-17~34 및 성남1길 156-1~172 일대,복수 도로 음식거리,https://m.xn--o39a81gi2cv0je9ktug.kr/myboard/myboard1/607242,A+,남도음식거리 공식 음식점 현황 주소 분포를 기반으로 거리 범위 보정.
전남,보성군,벌교 꼬막거리,꼬막,"꼬막,꼬막정식,꼬막요리",남도음식거리,벌교 꼬막을 대표 메뉴로 한 남도음식거리,전라남도 보성군 벌교읍 부근,34.85167,127.3362,,,운영,신규,전라남도,https://www.남도음식명가.kr,웹 검증,A+,전라남도 남도음식거리 공식 지정 목록에 포함.,특정 음식 직접 매칭 가능,Y,벌교읍내 꼬막정식 전문점 밀집구간,대표 권역 포인트,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=5f1681fc-b976-48d3-8e65-86ddc7993a9a,A-,대표부근 표시용 좌표: 사용자 지정 대표권역 · 벌교읍 꼬막거리 권역
전남,순천시,순천 곱창골목,곱창,"곱창,곱창구이",음식골목,순천 지역 곱창 전문 음식골목,전라남도 순천시 남내동 69 부근,34.9538033,127.4846299,,,운영,신규,순천시,https://www.sc.go.kr/traver/tour/0013/0004/,웹 검증,A,순천시 공식 관광 메뉴의 권역별 음식거리로 확인.,특정 음식 직접 매칭 가능,Y,별미길 5~20 및 황금1길 인근,대표 권역 포인트,https://www.suncheon.go.kr/stay/0006/0003/0004/,A+,대표부근 표시용 좌표: 사용자 지정 대표권역 · 순천 곱창골목 부근
전남,순천시,순천 웃장국밥거리,국밥,"국밥,돼지국밥,수육",남도음식거리,웃장 일대 국밥 전문 음식거리,전라남도 순천시 동외동 웃장 일원,34.9588493,127.4851874,,,운영,신규,순천시/전라남도,https://www.sc.go.kr/traver/tour/0013/0004/,웹 검증,A+,순천시 공식 관광에서 권역별 음식거리로 확인되며 남도음식거리 지정.,특정 음식 직접 매칭 가능,Y,순천 웃장 내·주변 국밥점 밀집구간,대표 권역 포인트,https://www.sc.go.kr/traver/tour/0013/0004/,A,대표부근 표시용 좌표: 순천 웃장 대표부근 좌표
전남,순천시,청소골닭구이거리,닭구이,닭구이,음식거리,청소골 닭구이 음식점 밀집 거리,전라남도 순천시 서면 청소골 계곡 부근,35.0205,127.5075,,,운영,신규,순천시,https://www.sc.go.kr/traver/tour/0013/0004/,웹 검증,A,순천시 공식 관광 메뉴의 권역별 음식거리로 확인.,특정 음식 직접 매칭 가능,Y,청소골 닭구이 전문점 밀집권역,대표 권역 포인트,https://www.sc.go.kr/traver/tour/0013/0004/,A-,대표부근 표시용 좌표: 사용자 지정 대표권역 · 청소골 계곡/청소길 권역
전남,신안군,신안 섬뻘낙지 남도음식거리,낙지,"낙지,갯벌낙지,섬뻘낙지",남도음식거리,신안 섬 갯벌 낙지 특화 음식거리,전라남도 신안군 압해읍 송공항 부근,34.85,126.2333,,,운영,신규,전라남도,https://www.남도음식명가.kr,웹 검증,A+,전라남도 남도음식거리 공식 지정 목록에 포함.,특정 음식 직접 매칭 가능,Y,압해읍 송공항 주변,대표 권역 포인트,https://www.xn--o39a81gi2cv0je9ktug.kr/shop_contents/myboard_read.htm?category_idx=37555&idx=607450&myboard_code=myboard1&page=1,A+,대표부근 표시용 좌표: 사용자 지정 대표권역 · 압해 송공항 부근
전남,여수시,국동 장어탕 횟집거리,장어탕,"장어탕,장어",음식거리,장어탕 횟집 특화음식,전라남도 여수시 어항단지로 13,34.725235,127.7128137,8.0,2009.0,기존 데이터,기존,전라남도 여수시청,,전라남도_여수시_지역특화거리_20250416.csv,A,기존 공공 지역특화거리 원자료. 신규 웹 검증 대상 아님.,특정 음식 직접 매칭 가능,Y,전라남도 여수시 어항단지로 13,공공데이터 대표주소,전라남도_여수시_지역특화거리_20250416.csv,A,공공 지역특화거리 원자료 대표주소·좌표
전남,여수시,덕양 곱창거리,곱창,"곱창,막창,곱창구이,막창구이",음식거리,곱창 막창구이 특화음식,전라남도 여수시 소라면 하세동길 8-1,34.7978101813,127.6316832973,14.0,2020.0,기존 데이터,기존,전라남도 여수시청,,전라남도_여수시_지역특화거리_20250416.csv,A,기존 공공 지역특화거리 원자료. 신규 웹 검증 대상 아님.,특정 음식 직접 매칭 가능,Y,전라남도 여수시 소라면 하세동길 8-1,공공데이터 대표주소,전라남도_여수시_지역특화거리_20250416.csv,A,공공 지역특화거리 원자료 대표주소·좌표
전남,여수시,봉산동 게장백반거리,게장백반,"게장백반,간장게장,양념게장,게장",음식거리,간장게장 양념게장 특화음식,전라남도 여수시 봉산남4길 12,34.732763,127.7199388863,11.0,2009.0,기존 데이터,기존,전라남도 여수시청,,전라남도_여수시_지역특화거리_20250416.csv,A,기존 공공 지역특화거리 원자료. 신규 웹 검증 대상 아님.,특정 음식 직접 매칭 가능,Y,전라남도 여수시 봉산남4길 12,공공데이터 대표주소,전라남도_여수시_지역특화거리_20250416.csv,A,공공 지역특화거리 원자료 대표주소·좌표
전남,여수시,좌수영 음식문화거리,서대회,"서대회,장어탕",음식거리,장어탕 서대회 특화음식,전라남도 여수시 중앙로 72-16,34.739714,127.735486,35.0,2020.0,기존 데이터,기존,전라남도 여수시청,,전라남도_여수시_지역특화거리_20250416.csv,A,기존 공공 지역특화거리 원자료. 신규 웹 검증 대상 아님.,특정 음식 직접 매칭 가능,Y,전라남도 여수시 중앙로 72-16,공공데이터 대표주소,전라남도_여수시_지역특화거리_20250416.csv,A,공공 지역특화거리 원자료 대표주소·좌표
전남,여수시,해양공원 해물삼합거리,해물삼합,해물삼합,음식거리,해물삼합 특화음식,전라남도 여수시 이순신광장로 137,34.737881,127.7390644727,61.0,2020.0,기존 데이터,기존,전라남도 여수시청,,전라남도_여수시_지역특화거리_20250416.csv,A,기존 공공 지역특화거리 원자료. 신규 웹 검증 대상 아님.,특정 음식 직접 매칭 가능,Y,전라남도 여수시 이순신광장로 137,공공데이터 대표주소,전라남도_여수시_지역특화거리_20250416.csv,A,공공 지역특화거리 원자료 대표주소·좌표
전남,영광군,영광 법성포 굴비거리,굴비,"굴비,영광굴비,법성포굴비",음식거리,굴비 식당과 판매점이 있는 거리,전라남도 영광군 법성면 굴비로,35.359484,126.445767,352.0,2021.0,기존 데이터,기존,전라남도 영광군청,,전라남도_영광군_지역특화거리_20251128.csv,A,기존 공공 지역특화거리 원자료. 신규 웹 검증 대상 아님.,특정 음식 직접 매칭 가능,Y,전라남도 영광군 법성면 굴비로,공공데이터 대표주소,전라남도_영광군_지역특화거리_20251128.csv,A,공공 지역특화거리 원자료 대표주소·좌표
전남,영암군,기품 독천낙지거리,낙지,"낙지,갈낙탕,낙지초무침",남도음식거리,독천5일시장 인근 낙지·한우 음식거리,전라남도 영암군 학산면 독천5일시장 부근,34.72469,126.5674,,2025.0,조성,신규,전라남도,https://governor.jeonnam.go.kr/M7116/boardView.do?displayHeader=&infoReturn=&menuId=jeonnam0202000000&pageIndex=18&searchText=&searchType=&seq=1959228,웹 검증,A+,2025년 전라남도 남도음식거리 신규 선정. 공식 도청 보도자료 검색 결과로 확인.,특정 음식 직접 매칭 가능,Y,독천5일시장 인근 낙지 음식점 밀집구간,대표 권역 포인트,https://namdokorea.com/tour/info/area/areaList.do?area=AREA_YEONGAM&category1=food&menuCd=T002001015,A+,대표부근 표시용 좌표: 사용자 지정 대표권역 · 독천5일시장/낙지거리 권역
전남,완도군,완도전복거리,전복,"전복,전복요리,전복코스요리",음식거리,완도를 대표하는 음식점이 모여있는 거리로 주로 생선회 및 전복요리를 판매하고 있으며 완도를 찾은 관광객이 가장 많이 방문하는 음식특화거리임,전라남도 완도군 완도읍 해변공원로 124번길,34.324519,126.748446,25.0,2003.0,기존 데이터,기존,완도군 문화관광,https://www.wando.go.kr/tour/sub.cs?m=52,전라남도_완도군_지역특화거리_20240814.csv,A+,기존 음식특화거리와 같은 완도읍 해변공원로124번길 권역. 완도군 문화관광이 현재 '완도전복거리'로 공식 안내하여 명칭과 대표음식을 정규화.,특정 음식 직접 매칭 가능,Y,전라남도 완도군 완도읍 해변공원로 124번길,공공데이터 대표주소,전라남도_완도군_지역특화거리_20240814.csv,A,공공 지역특화거리 원자료 대표주소·좌표
전남,장성군,장성호 미락단지,메기탕,"메기탕,메기찜,빠가탕,민물고기",음식거리,"장성호 하류의 미락단지는 조선시대부터 민물고기 전문요리가 이어져 왔으며 메기탕, 메기찜, 빠가탕 등이 유명하다",전라남도 장성군 장성읍 미락단지길,35.343484,126.816809,13.0,2000.0,기존 데이터,기존,전라남도 장성군청,,전라남도_장성군_지역특화거리_20240602.csv,A,기존 공공 지역특화거리 원자료. 신규 웹 검증 대상 아님.,특정 음식 직접 매칭 가능,Y,전라남도 장성군 장성읍 미락단지길,공공데이터 대표주소,전라남도_장성군_지역특화거리_20240602.csv,A,공공 지역특화거리 원자료 대표주소·좌표
전남,장흥군,장흥 바지락·키조개 음식거리,키조개,"키조개,바지락,한우삼합",남도음식거리,장흥 키조개·바지락 중심 음식거리,전라남도 장흥군 안양면 수문리 수문해수욕장 부근,34.6505,127.0355,,,운영,신규,전라남도,https://www.남도음식명가.kr,웹 검증,A+,전라남도 남도음식거리 공식 지정 목록에 포함.,특정 음식 직접 매칭 가능,Y,안양면 수문리 일대,대표 권역 포인트,https://www.xn--o39a81gi2cv0je9ktug.kr/shop_contents/myboard_read.htm?category_idx=37545&idx=606962&myboard_code=myboard1&page=1,A+,대표부근 표시용 좌표: 사용자 지정 대표권역 · 수문해수욕장/수문마을 권역
전남,장흥군,정남진 장흥토요시장 한우특화거리,한우,"한우,장흥한우,한우삼합",음식거리,정남진 장흥토요시장 내 한우 판매·식당 특화구역,전라남도 장흥군 장흥읍 토요시장3길 15 부근,34.6761943,126.9029044,17.0,,운영,신규,장흥군청,https://www.jangheung.go.kr/jnjmarket/shopping/area/cattle,웹 검증,A,장흥군 공식 토요시장 사이트에서 한우특화거리 및 17개 업소 확인.,특정 음식 직접 매칭 가능,Y,정남진 장흥토요시장 내 한우판매·식당 구간,대표 권역 포인트,https://www.jangheung.go.kr/jnjmarket/shopping/area/cattle?idx=722&mode=view,A+,대표부근 표시용 좌표: 사용자 지정 대표권역 · 정남진 장흥토요시장 권역
전남,진도군,진도서촌 간재미거리,간재미,"간재미,간재미회,간재미무침,간재미매운탕,간재미찜",남도음식거리,진도읍 쌍정2길·남동1길 일원 간재미 음식거리,전라남도 진도군 진도읍 남동1길 및 쌍정2길 부근,34.4817848,126.261161,,2024.0,조성/운영,신규,진도군/전라남도,https://www.jindo.go.kr/home/board/B0016.cs?act=read&articleId=152559&categoryId=3&m=626&pageIndex=10&searchCondition=&searchKeyword=,웹 검증,A+,진도군 공식 보도자료에서 2024 남도음식거리 공모 선정과 대상 구간 직접 확인.,특정 음식 직접 매칭 가능,Y,"쌍정2길 25~42-1, 남동1길 55~57-8 일대",대표 권역 포인트,https://m.xn--o39a81gi2cv0je9ktug.kr/shop_contents/myboard_read.htm?category_idx=40786&idx=3107351&myboard_code=myboard1&page=1,A+,대표부근 표시용 좌표: 사용자 지정 대표권역 · 남동1길·쌍정2길 권역
전남,함평군,함평천지 한우비빔밥 음식테마거리,한우비빔밥,"한우비빔밥,비빔밥",음식거리,1900년 초부터 함평 우시장을 중심으로 발달해 온 한우비빔밥을 주메뉴로 한 식당이 밀집되어 있는 거리,전라남도 함평군 함평읍 시장길 부근,35.0644445,126.5206629,14.0,2014.0,기존 데이터,기존,전라남도 함평군청,,전라남도_함평군_지역특화거리_20250701.csv,A,기존 공공 지역특화거리 원자료. 신규 웹 검증 대상 아님.,특정 음식 직접 매칭 가능,Y,전라남도 함평군 함평읍 시장길(5일시장 내),대표 권역 포인트,전라남도_함평군_지역특화거리_20250701.csv,A,대표부근 표시용 좌표: 사용자 지정 대표권역 · 함평5일시장/시장길 권역
전남,해남군,해남 닭코스요리 남도음식거리,닭코스요리,"닭코스요리,닭회,닭구이,닭백숙",남도음식거리,해남 닭 한 마리를 코스로 즐기는 음식거리,전라남도 해남군 해남읍 연동리~삼산면 매정리 닭코스요리거리 부근,34.5498083,126.6175326,,,운영,신규,해남군/전라남도,https://www.haenam.go.kr/tour/,웹 검증,A+,해남군 문화관광이 남도음식거리 닭코스요리 메뉴를 별도 운영.,특정 음식 직접 매칭 가능,Y,고산로 옛길 중심 닭·오리 요리촌,대표 권역 포인트,https://m.xn--o39a81gi2cv0je9ktug.kr/myboard/myboard1/606964,A+,대표부근 표시용 좌표: 사용자 지정 대표권역 · 해남 닭코스요리거리/고산로 권역
